,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Free Cash Flow,704900000.0,1018900000.0,904900000.0,193500000.0,
Repurchase Of Capital Stock,-623800000.0,-480900000.0,-449700000.0,-488600000.0,
Repayment Of Debt,-423200000.0,-22000000.0,-21300000.0,-521900000.0,
Issuance Of Debt,498200000.0,0.0,0.0,0.0,
Capital Expenditure,-449300000.0,-216200000.0,-164800000.0,-217500000.0,
End Cash Position,1994700000.0,1929400000.0,1670600000.0,1536900000.0,
Beginning Cash Position,1929400000.0,1670600000.0,1536900000.0,1872000000.0,
Effect Of Exchange Rate Changes,37400000.0,-8200000.0,-13600000.0,-8800000.0,
Changes In Cash,27900000.0,267000000.0,147300000.0,-326300000.0,
Financing Cash Flow,-769700000.0,-704000000.0,-665600000.0,-1208800000.0,
Cash Flow From Continuing Financing Activities,-769700000.0,-704000000.0,-665600000.0,-1208800000.0,
Net Other Financing Charges,-4400000.0,,,,
Cash Dividends Paid,-216500000.0,-201100000.0,-194600000.0,-198300000.0,
Common Stock Dividend Paid,-216500000.0,-201100000.0,-194600000.0,-198300000.0,
Net Common Stock Issuance,-623800000.0,-480900000.0,-449700000.0,-488600000.0,
Common Stock Payments,-623800000.0,-480900000.0,-449700000.0,-488600000.0,
Net Issuance Payments Of Debt,75000000.0,-22000000.0,-21300000.0,-521900000.0,
Net Short Term Debt Issuance,,,,0.0,0.0
Short Term Debt Payments,,,,0.0,0.0
Short Term Debt Issuance,,,,,0.0
Net Long Term Debt Issuance,75000000.0,-22000000.0,-21300000.0,-521900000.0,
Long Term Debt Payments,-423200000.0,-22000000.0,-21300000.0,-521900000.0,
Long Term Debt Issuance,498200000.0,0.0,0.0,0.0,
Investing Cash Flow,-356600000.0,-264100000.0,-256800000.0,471500000.0,
Cash Flow From Continuing Investing Activities,-356600000.0,-264100000.0,-256800000.0,471500000.0,
Net Other Investing Changes,3100000.0,-400000.0,-3500000.0,-5800000.0,
Net Investment Purchase And Sale,89600000.0,-47500000.0,-88500000.0,694800000.0,
Sale Of Investment,723600000.0,734300000.0,304300000.0,1293400000.0,
Purchase Of Investment,-634000000.0,-781800000.0,-392800000.0,-598600000.0,
Net Intangibles Purchase And Sale,-41200000.0,0.0,0.0,,
Purchase Of Intangibles,-41200000.0,0.0,0.0,,
Net PPE Purchase And Sale,,,,,0.0
Sale Of PPE,,,,,0.0
Capital Expenditure Reported,-408100000.0,-216200000.0,-164800000.0,-217500000.0,
Operating Cash Flow,1154200000.0,1235100000.0,1069700000.0,411000000.0,
Cash Flow From Continuing Operating Activities,1154200000.0,1235100000.0,1069700000.0,411000000.0,
Change In Working Capital,-158300000.0,201900000.0,115000000.0,-424600000.0,
Change In Other Working Capital,-200700000.0,103300000.0,-50500000.0,-20900000.0,
Change In Payables And Accrued Expense,142200000.0,226200000.0,15600000.0,-225000000.0,
Change In Prepaid Assets,-20000000.0,-47400000.0,16100000.0,-19900000.0,
Change In Inventory,-44200000.0,-52600000.0,149100000.0,-106200000.0,
Change In Receivables,-35600000.0,-27600000.0,-15300000.0,-52600000.0,
Changes In Account Receivables,-35600000.0,-27600000.0,-15300000.0,-52600000.0,
Other Non Cash Items,5400000.0,3600000.0,13700000.0,1000000.0,
Stock Based Compensation,111000000.0,107900000.0,99500000.0,75500000.0,
Asset Impairment Charge,13600000.0,9200000.0,7300000.0,12000000.0,
Deferred Tax,8400000.0,-50000000.0,-41100000.0,3900000.0,
Deferred Income Tax,8400000.0,-50000000.0,-41100000.0,3900000.0,
Depreciation Amortization Depletion,233000000.0,219600000.0,229000000.0,220500000.0,
Depreciation And Amortization,233000000.0,219600000.0,229000000.0,220500000.0,
Amortization Cash Flow,10700000.0,12900000.0,13100000.0,14000000.0,
Amortization Of Intangibles,10700000.0,12900000.0,13100000.0,14000000.0,
Depreciation,222300000.0,206700000.0,215900000.0,206500000.0,
Net Income From Continuing Operations,941100000.0,742900000.0,646300000.0,522700000.0,
